Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Parque Cuiabá,,388974121196014,none,,,,N/A,N/A,2021-03-17 17:29:44 BRT,2021-03-17,17:29:44,Link,45,3,32,3,1,0,4,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/388974121196014/permalink/3902313529862038,qual a sua opinião?,https://baixadacuiabana.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça | Baixada Cuiabana,"CuiabáDestaque Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça 16 de março de 2021Fonte: Share on Facebook Tweet on Twitter Presidente de Cuba, Raul Castro, deve autorizar vacinação de grupo de cuiabanos ao custo de R$ 1 milhão, que será doado ao ...",,,,45,-1.56
Movimento Revolucionário Socialista,,344813902603259,learning,,,,38466,N/A,2021-03-17 12:02:58 BRT,2021-03-17,12:02:58,Link,25,6,5,6,0,5,0,1,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/344813902603259/permalink/1207164316368209,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,25,-4.36
UFMG,,237180516398413,none,,,,29771,N/A,2021-03-17 09:57:13 BRT,2021-03-17,09:57:13,Link,18,3,6,6,0,1,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/237180516398413/permalink/3760258064090623,O capitalismo sempre dependeu do socialismo... e vice e versa.,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,18,-2.44
Grupo de Noticias Página1,,2047458995488769,none,,,,4789,N/A,2021-03-17 12:56:44 BRT,2021-03-17,12:56:44,Link,9,5,3,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2047458995488769/permalink/2994484607452865,,https://pagina1.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - PÁGINA 1,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,9,-6.56
SOB MEDIDA,,413219482100777,none,,,,1218,N/A,2021-03-17 14:04:23 BRT,2021-03-17,14:04:23,Link,8,4,0,2,0,1,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/413219482100777/permalink/3783120288443996,"CORRIDA PARA CUBA É a completa desmoralização do governo, Jair Bolsonaro. VIA Marco Espirito Santo",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,8,-4.88
Grupo Esquerda do Brasil,,922251947920401,none,,,,14232,N/A,2021-03-17 00:05:28 BRT,2021-03-17,00:05:28,Link,8,1,2,3,0,1,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/922251947920401/permalink/2569331219879124,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,8,-3.12
#A GAZETA ESQUERDISTA CONTRA O COISO,,1661196214097267,none,,,,51285,N/A,2021-03-16 22:29:56 BRT,2021-03-16,22:29:56,Link,5,3,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1661196214097267/permalink/2898215793728630,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,5,-4.8
ARTISTAS INTELECTUAIS E FORMADORES DE OPINIÃO EM DEFESA DA DEMOCRACIA,,996957933676835,none,,,,2430,N/A,2021-03-17 19:47:22 BRT,2021-03-17,19:47:22,Link,4,0,0,4,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/996957933676835/permalink/3994899347215997,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,4,-0.73
LULA PRESIDENTE,,180698266598065,none,,,,44648,N/A,2021-03-17 00:00:55 BRT,2021-03-17,00:00:55,Link,4,0,0,3,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/180698266598065/permalink/477476346920254,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,4,-9.25
Blog Vamos Resistir ao Golpe,,119965511397379,none,,,,48764,N/A,2021-03-17 13:32:03 BRT,2021-03-17,13:32:03,Link,4,2,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/119965511397379/permalink/3938354026225156,VAI PRA CUBA A matéria começa com um erro grave: ela diz que presidente de Cuba é Raul Castro quando desde 2018 o presidente é Miguel Diaz-Canel. Os empresários que têm dinheiro vão se imunizar em Cuba pra depois promover aglomerações e fazer arminha do lado do genocida.,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,4,-7.5
Santa Luzia De Fato,,2274998406142944,none,,,,1719,N/A,2021-03-16 21:12:20 BRT,2021-03-16,21:12:20,Link,3,1,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2274998406142944/permalink/2485042358471880,Vai pra onde mesmo? Bando de retardado,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,3,-7
