Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,119452,N/A,2020-07-16 08:21:15 BRT,2020-07-16,08:21:15,Photo,46,14,2,26,0,0,0,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1660323857593756/permalink/2521579004801566,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,46,-1.72
Politicamente Incorrecto,,1061199780887920,none,,,,N/A,N/A,2020-07-20 19:06:58 BRT,2020-07-20,19:06:58,Photo,42,15,2,10,0,0,7,1,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1061199780887920/permalink/1209833959357834,,https://www.facebook.com/photo.php?fbid=3247537708637397&set=p.3247537708637397&type=3,,"BiaKIcis ""Estamos TRABALHANDO VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo custo algum no combate ao ""NÃO FUNCIONA. Suspendam a produção. Não tem provas cientificas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem comprar vacina Chinesa AGORA!",Paulo Camarate,A diferença das politicas de direita e o oportunismo da esquerda.,,,,42,2
Direita Conservadora Pelotas,,554827445329773,none,,,,1656,N/A,2020-07-16 07:50:23 BRT,2020-07-16,07:50:23,Photo,42,15,10,8,0,0,3,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/554827445329773/permalink/763777741101408,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,42,1.5
CIDADANIA ACTIVADA,,417838261568055,none,,,,14857,N/A,2020-07-20 19:06:17 BRT,2020-07-20,19:06:17,Photo,39,6,11,6,0,0,10,3,2,1,,-,0,0,0,N/A,https://www.facebook.com/groups/417838261568055/permalink/3449124061772778,,https://www.facebook.com/photo.php?fbid=3247537708637397&set=p.3247537708637397&type=3,,"BiaKIcis ""Estamos TRABALHANDO VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo custo algum no combate ao ""NÃO FUNCIONA. Suspendam a produção. Não tem provas cientificas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem comprar vacina Chinesa AGORA!",Paulo Camarate,A diferença das politicas de direita e o oportunismo da esquerda.,,,,39,1.86
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,119452,N/A,2020-07-16 07:07:27 BRT,2020-07-16,07:07:27,Photo,39,9,12,14,0,0,0,2,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1660323857593756/permalink/2521530381473095,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,39,-2.03
Aliança pelo Brasil 38,,565098544264960,none,,,,197979,N/A,2020-07-16 08:37:15 BRT,2020-07-16,08:37:15,Photo,38,11,3,18,0,0,1,1,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/565098544264960/permalink/838258966948915,Difícil né brasileiros 🇧🇷💯 Bolsonaro,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,38,-1.63
Brasil sem corruptos,,578457189028942,none,,,,4437,N/A,2020-07-16 07:09:57 BRT,2020-07-16,07:09:57,Photo,37,13,5,11,0,1,0,0,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/578457189028942/permalink/1483135498561102,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,37,-1.81
#Globolixo,,1844897409130363,learning,,,,93724,N/A,2020-07-16 10:48:34 BRT,2020-07-16,10:48:34,Photo,35,12,8,11,0,0,0,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1844897409130363/permalink/2851042051849222,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,35,-2.26
Bolsonaro Presidente (Oficial),,270048890291921,none,,,,106382,N/A,2020-07-16 12:33:35 BRT,2020-07-16,12:33:35,Photo,35,5,5,19,0,0,0,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/270048890291921/permalink/627650557865084,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,35,-12
UGB- União dos Grupos de  JAIR BOLSONARO,,1239536926217055,none,,,,N/A,N/A,2020-07-16 09:44:27 BRT,2020-07-16,09:44:27,Photo,34,11,0,15,0,1,0,1,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1239536926217055/permalink/1299926546844759,,https://www.facebook.com/biakicisoficial/photos/a.523546011145299/1678496302316925/?type=3,,"BiaKICIS ""Estamos TRABALHANDO NUMA VACINA QUE SEJA BARATA ao ponto de distribuir ao mundo sem custo algum no combate ao ""NÃO FUNCIONA. Suspendam produção. Não tem provas científicas que funciona! ""Estou DISTRIBUINDO GRATUITAMENTE comprimidos de Hidroxcloroquina pra população se tratar contra COVID-19 ""NÃO FUNCIONA. Suspendam uso da Cloroquina, porque não tem comprovação científica que ela funcione! ""Minha vacina está pronta! 10 MIL DÓLARES CADA UMA ""FINALMENTE achamos uma vacina que funciona! Parabéns CHINA pelo exemplo de combate COVID-19! Todos devem vacina Chinesa AGORA!",Bia Kicis,A OMS não surpreende mais.,,,,34,1.42
